Entity,Code,Year,Above $10 a day,$8.30-$10 a day,$4.20-$8.30 a day,$3-$4.20 a day,Below $3 a day
Austria,AUT,2013,8409900,11897,26090,3274,28662
Austria,AUT,2014,8474747,8452,37187,6804,19166
Austria,AUT,2015,8505352,37082,37048,4048,59169
Austria,AUT,2016,8598532,22214,37921,19984,58017
Austria,AUT,2017,8725516,11419,25591,4272,30768
Austria,AUT,2018,8733939,4762,41055,10519,50246
Austria,AUT,2019,8791797,12406,12443,5852,57422
Austria,AUT,2020,8804314,17120,16290,13279,65861
Austria,AUT,2021,8833430,20530,55448,2880,43509
Austria,AUT,2022,8933690,9327,34867,5740,58227
Austria,AUT,2023,9030234,8951,39276,5064,48236
Azerbaijan,AZE,1995,944856,580382,3254866,1394295,1510451
Azerbaijan,AZE,2001,1496593,687612,3663323,1339156,924516
Azerbaijan,AZE,2002,2344129,1437969,4186628,183415,19809
Azerbaijan,AZE,2003,2781055,1432887,3767992,231684,20482
Azerbaijan,AZE,2004,2785274,1560648,3885895,70793,3890
Azerbaijan,AZE,2005,3600497,1775926,2991146,24281,0
Bangladesh,BGD,1983,1282514,1135723,19485951,29140562,45530314
Bangladesh,BGD,1985,2295691,1607899,24594257,30940630,42006219
Bangladesh,BGD,1988,2197914,1440722,20727968,28596690,55361610
Bangladesh,BGD,1991,1900251,1333503,22248815,30564806,58822273
Bangladesh,BGD,1995,5111407,3061588,29420259,32450094,53687924
Bangladesh,BGD,2000,6335402,4000382,34787711,33755137,55665672
Bangladesh,BGD,2005,8927531,5510135,44860059,38651238,46766829
Bangladesh,BGD,2010,11048659,6325495,55485278,41111561,38230991
Bangladesh,BGD,2016,14389881,8555550,65903851,40586370,31376284
Bangladesh,BGD,2022,31106832,17174481,86451317,24643178,10009088
Barbados,BRB,2016,212893,22599,35276,4140,4690
Belarus,BLR,1998,365076,300495,3138641,2415522,3852229
Belarus,BLR,1999,409787,369802,3573778,2289811,3383560
Belarus,BLR,2000,561065,497481,3984983,2290960,2645121
Belarus,BLR,2001,1121670,812712,4713738,1818551,1461878
Belarus,BLR,2002,1447157,913522,4871876,1603264,1029729
Belarus,BLR,2003,1623667,991065,4971057,1360586,850374
Belarus,BLR,2004,2135216,1322632,4945160,912345,414793
Belarus,BLR,2005,3591825,1507845,3773241,555202,235802
Belarus,BLR,2006,4683219,1395492,3053460,370834,101919
Belarus,BLR,2007,5539630,1325234,2378172,216332,101585
Belarus,BLR,2008,5952692,1289296,2054856,181793,49348
Belarus,BLR,2009,6122924,1264052,1905053,161214,51340
Belarus,BLR,2010,6758009,1015079,1585964,108459,16325
Belarus,BLR,2011,7107117,976921,1293050,79381,5174
Belarus,BLR,2012,7835933,744094,841998,17140,7671
Belarus,BLR,2013,8374793,516470,537859,11967,2122
Belarus,BLR,2014,8394696,546829,501943,5047,0
Belarus,BLR,2015,8151780,663726,617425,28145,0
Belarus,BLR,2016,8044195,727284,671346,26554,0
Belarus,BLR,2017,8154817,721053,568627,11889,2603
Belarus,BLR,2018,8523475,505007,396316,11909,2078
Belarus,BLR,2019,8692262,363916,361862,1718,0
Belarus,BLR,2020,8774007,358035,241731,6179,0
Belgium,BEL,1985,9759725,19717,39433,9858,29575
Belgium,BEL,1988,9792746,29705,9901,0,69312
Belgium,BEL,1992,9914571,10045,30136,0,90406
Belgium,BEL,1995,9994896,30410,40547,10137,60821
Belgium,BEL,1997,10059070,20363,50906,10181,40725
Belgium,BEL,2000,10148738,10251,30753,30754,30754
Belgium,BEL,2003,10262523,19515,47299,5989,40807
Belgium,BEL,2004,10374771,2492,30536,7917,5421
Belgium,BEL,2005,10401963,18997,23295,7892,26470
Belgium,BEL,2006,10490684,10498,24583,1929,20264
Belgium,BEL,2007,10568825,12429,23556,2775,18115
Belgium,BEL,2008,10657409,16981,20510,2391,12682
Belgium,BEL,2009,10731609,27683,20050,4405,12746
Belgium,BEL,2010,10814682,27576,31650,6195,15483
Belgium,BEL,2011,10946754,22510,37006,11673,20321
Belgium,BEL,2012,11041210,12856,27175,6579,19112
Belgium,BEL,2013,11080985,18904,34767,8625,16126
Belgium,BEL,2014,11170334,8208,16340,5601,8574
Belgium,BEL,2015,11237951,10112,4130,6536,15467
Belgium,BEL,2016,11278728,17139,25740,3037,6778
Belgium,BEL,2017,11315455,19189,14792,5820,19902
Belgium,BEL,2018,11390574,12882,13342,0,10256
Belgium,BEL,2019,11457132,4960,12047,2565,12276
Belgium,BEL,2020,11502716,3038,19350,3600,9900
Belgium,BEL,2021,11554312,2574,14465,10607,4237
Belgium,BEL,2022,11654891,4576,12407,5947,2389
Belgium,BEL,2023,11745450,4346,19913,0,10237
Belize,BLZ,1995,91753,14361,43881,16677,37474
Belize,BLZ,2018,274746,31413,59888,11347,3953
Benin,BEN,2003,174883,99418,979555,1083884,5575330
Benin,BEN,2011,393658,204204,1409292,1213028,6973772
Benin,BEN,2015,578406,194111,1113756,1996706,7477702
Benin,BEN,2018,968649,527748,3717366,2673755,4667533
Benin,BEN,2021,1139928,699701,4997049,3114050,3722252
Bhutan,BTN,2003,109826,42502,219945,118144,147246
Bhutan,BTN,2007,170782,66056,260206,99959,81638
Bhutan,BTN,2012,289171,79993,261558,60399,26158
Bhutan,BTN,2017,354176,79261,248634,52544,19720
Bhutan,BTN,2022,652896,57819,66969,3176,54
Bolivia,BOL,1997,3510961,588698,1921341,627270,1519630
Bolivia,BOL,1999,3470169,547212,1694321,668960,2079144
Bolivia,BOL,2000,2947037,600283,1947058,680318,2431630
Bolivia,BOL,2001,3294413,714099,2106182,684061,1953981
Bolivia,BOL,2002,3230789,646324,2177717,719404,2126121
Bolivia,BOL,2004,3884884,785860,2518029,796382,1219132
Bolivia,BOL,2005,4107857,623541,2186418,694320,1748618
Bolivia,BOL,2006,4558507,712228,2112296,623852,1514806
Bolivia,BOL,2007,4782527,763495,2287356,683603,1168979
Bolivia,BOL,2008,5527404,717007,2092143,473343,1040961
Bolivia,BOL,2009,6126768,694407,1740879,448930,1005291
Bolivia,BOL,2011,6995978,736792,1524257,374238,717664
Bolivia,BOL,2012,7146397,643517,1558218,339375,828300
Bolivia,BOL,2013,7522955,636021,1508656,293064,721912
Bolivia,BOL,2014,7676672,722890,1456259,385728,607339
Bolivia,BOL,2015,7740120,743575,1562164,284850,683996
Bolivia,BOL,2016,7787209,743311,1507737,339874,801889
Bolivia,BOL,2017,8000861,724942,1562039,329298,727447
Bolivia,BOL,2018,8296378,755585,1541936,374052,540417
Bolivia,BOL,2019,8868439,723425,1408366,304839,366317
Bolivia,BOL,2020,8731838,785886,1523824,272922,501829
Bolivia,BOL,2021,9073738,827565,1375506,295903,364648
Bolivia,BOL,2022,9051070,792409,1541632,297468,394575
Bolivia,BOL,2023,9329238,890760,1398695,280488,344978
Bolivia,BOL,2024,9498455,759852,1552418,348091,254499
Bolivia (urban),,1990,1812874,391459,1218941,402793,236395
Bolivia (urban),,1992,1317799,332193,1461257,576427,590538
Bosnia and Herzegovina,BIH,2001,2814230,520648,777594,40048,26918
Bosnia and Herzegovina,BIH,2004,3479969,258152,365358,21131,16377
Bosnia and Herzegovina,BIH,2007,3041874,328125,546296,68286,28843
Bosnia and Herzegovina,BIH,2011,2829401,313570,506670,57619,34538
Bosnia and Herzegovina,BIH,2015,2582636,328866,500069,65319,41651
Bosnia and Herzegovina,BIH,2021,2605682,261106,344452,24988,8679
Botswana,BWA,1985,127946,43186,243799,155574,573502
Botswana,BWA,1993,218576,66920,346167,197894,603728
Botswana,BWA,2002,440160,77365,377499,253099,613056
Botswana,BWA,2009,620293,126003,575836,257462,421688
Botswana,BWA,2015,682822,138426,611013,321333,476456
Brazil,BRA,1981,31784905,6817874,32056066,15323294,38080973
Brazil,BRA,1982,33116644,7048467,31919257,15534941,39303843
Brazil,BRA,1983,27669988,6203348,29602727,17343787,48970230
Brazil,BRA,1984,27753637,6726320,31378015,17792154,49008738
Brazil,BRA,1985,33228269,7403893,33035082,17914654,43933702
Brazil,BRA,1986,56960357,9929903,35108002,13264071,23074035
Brazil,BRA,1987,45721047,8902146,34660822,15832226,35988703
Brazil,BRA,1988,44026311,9127699,33865565,16331989,40474788
Brazil,BRA,1989,49563903,8600767,34487136,16271663,37579507
Brazil,BRA,1990,42660678,8352401,35744356,17139417,45246364
Brazil,BRA,1992,39807330,9767839,41547079,17789438,45363386
Brazil,BRA,1993,43539593,9705354,40944366,18389509,44215754
Brazil,BRA,1995,61346382,11768787,40502266,16556466,31561171
Brazil,BRA,1996,63355469,10706823,40601779,15630201,33908272
Brazil,BRA,1997,63849609,10962664,40821514,17062003,33965874
Brazil,BRA,1998,66117048,11204986,42771547,16698475,32367592
Brazil,BRA,1999,63876050,11962475,43584209,17856066,34362736
Brazil,BRA,2001,75350722,12287500,42029956,15697249,30935773
Brazil,BRA,2002,77312933,12274045,43320548,16689962,28906000
Brazil,BRA,2003,76115318,12593137,44454050,16521857,30938326
Brazil,BRA,2004,78536482,13664467,45434877,17034852,28004458
Brazil,BRA,2005,83518301,13433120,45820717,16678611,25237347
Brazil,BRA,2006,90619221,14456997,45033650,15322317,21220919
Brazil,BRA,2007,96718217,14116196,43393080,13979128,20345699
Brazil,BRA,2008,103312807,14293816,42510091,12887016,17363566
Brazil,BRA,2009,107690190,14583606,41314541,12271436,16220179
Brazil,BRA,2011,117612038,14886851,39032659,9851747,13901441
Brazil,BRA,2012,122826388,14190100,38744079,8544413,12571132
Brazil,BRA,2013,128908076,14217368,36189648,8491861,10671351
Brazil,BRA,2014,132956872,14265658,35417418,7910592,9534580
Brazil,BRA,2015,132120634,14386552,36147465,8177445,10843440
Brazil,BRA,2016,129892778,14196759,37172346,8760476,13195753
Brazil,BRA,2017,131101062,13668265,37079571,8611386,14243156
Brazil,BRA,2018,133365703,13677713,36244885,8575891,14243072
Brazil,BRA,2019,135570265,13730612,35524367,8040070,14590142
Brazil,BRA,2020,149889162,15299004,32227439,5472953,5772290
Brazil,BRA,2021,130027309,15438362,40034102,8420840,15629675
Brazil,BRA,2022,141599084,15509757,35284124,7705897,10207554
Brazil,BRA,2023,146814588,15137418,33487778,7671080,8029872
Brazil,BRA,2024,154340482,13890315,30637165,6754708,6375906
Bulgaria,BGR,1992,7679486,421030,439648,0,0
Bulgaria,BGR,2006,4074294,980346,1637572,299145,609665
Bulgaria,BGR,2007,5432063,717985,990673,216508,188109
Bulgaria,BGR,2008,5961700,523709,712541,149532,145079
Bulgaria,BGR,2009,6014370,462253,720289,116138,131393
Bulgaria,BGR,2010,5728466,492198,810530,167254,197151
Bulgaria,BGR,2011,5593269,506924,832675,162029,253431
Bulgaria,BGR,2012,5625759,453335,804443,202276,220075
Bulgaria,BGR,2013,5741792,331898,689519,162900,233896
Bulgaria,BGR,2014,5806277,334513,627535,112788,192459
Bulgaria,BGR,2015,5535110,359615,642270,127299,319931
Bulgaria,BGR,2016,5756076,340559,443925,142124,211455
Bulgaria,BGR,2017,5705011,302811,543145,116216,136285
Bulgaria,BGR,2018,5877807,220592,440858,71237,100304
Bulgaria,BGR,2019,5862435,209661,347571,89135,107924
Bulgaria,BGR,2020,6001537,171460,277849,53639,46211
Bulgaria,BGR,2021,5963976,120127,291197,52085,79916
Bulgaria,BGR,2022,5978979,128311,247564,42168,68075
Bulgaria,BGR,2023,6064100,100501,179545,37275,65175
Burkina Faso,BFA,1994,124511,62642,521384,550037,8930955
Burkina Faso,BFA,1998,246928,74779,622628,579460,9716869
Burkina Faso,BFA,2003,417537,217095,1840960,1497184,9109756
Burkina Faso,BFA,2009,428167,212567,2140652,2375700,10552980
Burkina Faso,BFA,2014,622343,375292,3120829,3403474,10707522
Burkina Faso,BFA,2018,1671092,506670,4830527,3821794,9870037
Burkina Faso,BFA,2021,1434152,715450,5768823,5024708,9396353
Burundi,BDI,1992,26949,28237,324790,500132,4978299
Burundi,BDI,1998,71446,44609,229228,429376,5487473
Burundi,BDI,2006,71344,44004,592436,747101,6410662
Burundi,BDI,2013,177581,126603,1046368,1216796,8052215
Burundi,BDI,2020,213879,111130,1299406,1644370,9400518
Cameroon,CMR,1996,859885,505355,2433070,2039888,7576559
Cameroon,CMR,2001,1856696,857285,4968350,2909244,4717915
Cameroon,CMR,2007,2203858,935619,5277916,3131762,6500741
Cameroon,CMR,2014,4523587,1498418,6693055,2941743,6403089
Cameroon,CMR,2021,5301796,1825907,8965150,3990776,7312527
Canada,CAN,1971,20139183,417279,746709,109810,549051
Canada,CAN,1973,21277220,314885,427344,67475,404852
Canada,CAN,1975,22148115,231433,300862,69430,393436
Canada,CAN,1977,22824262,166081,308436,71177,355888
Canada,CAN,1979,23354490,217814,266217,48403,314620
Canada,CAN,1981,24174598,148920,223379,49640,223379
Canada,CAN,1982,24489018,150702,226053,50233,200936
Canada,CAN,1984,24838840,204857,281677,51215,230463
Canada,CAN,1985,25221905,180895,206737,51684,180895
Canada,CAN,1986,25526072,130501,130502,52200,261003
Canada,CAN,1987,25970561,105787,185126,26446,158680
Canada,CAN,1988,26336288,107167,133959,26792,187542
Canada,CAN,1989,26731244,81831,81830,27277,354598
Canada,CAN,1990,27081933,110765,166146,27691,304603
Canada,CAN,1991,27392559,112150,140187,28038,364486
Canada,CAN,1992,27803839,141856,170228,28371,226970
Canada,CAN,1993,28053699,114739,143424,28685,344217
Canada,CAN,1994,28449651,116003,145003,29001,261006
Canada,CAN,1995,28716266,146511,175814,29302,234419
Canada,CAN,1996,29136454,118441,177662,59220,118441
Canada,CAN,1997,29397547,149530,209341,29906,119624
Canada,CAN,1998,29672689,120621,150776,60310,150776
Canada,CAN,1999,29854063,121605,243210,60803,121605
Canada,CAN,2000,30256130,122743,184114,0,122743
Canada,CAN,2001,30617585,93062,186126,31020,93063
Canada,CAN,2002,30951530,94078,188155,31359,94078
Canada,CAN,2003,31262750,126570,126570,31643,94927
Canada,CAN,2004,31523603,127756,159694,31939,95816
Canada,CAN,2005,31759091,128971,193456,64486,96728
Canada,CAN,2006,32212909,97713,130285,32571,97714
Canada,CAN,2007,32559997,98667,131555,32889,65778
Canada,CAN,2008,32848330,66495,199484,33247,99742
Canada,CAN,2009,33260137,67260,201781,0,100890
Canada,CAN,2010,33665845,102018,102017,34006,102018
Canada,CAN,2011,34030167,68678,103018,34339,103018
Canada,CAN,2012,34227408,138854,208280,34714,104140
Canada,CAN,2013,34589858,105243,175405,35081,175405
Canada,CAN,2014,35044289,70868,141737,70868,106302
Canada,CAN,2015,35240338,107113,178523,35704,142818
Canada,CAN,2016,35713585,72222,144443,36111,144443
Canada,CAN,2017,36143080,109635,109636,36545,146180
Canada,CAN,2018,36664821,74145,148291,37073,148290
Canada,CAN,2019,37242311,37619,150474,37618,150474
Canada,CAN,2020,37838497,38028,76058,38028,38029
Canada,CAN,2021,38010425,76480,38239,38240,76480
Canada,CAN,2022,38624448,77872,116808,0,116808
Cape Verde,CPV,2001,70894,22798,125648,73439,172714
Cape Verde,CPV,2007,97188,31119,165777,73571,130239
Cape Verde,CPV,2015,137265,42091,180922,77286,74830
Central African Republic,CAF,1992,74185,29215,198521,171043,2628440
Central African Republic,CAF,2008,246407,98793,608269,539005,3066510
Central African Republic,CAF,2021,140826,59971,621361,628792,3661150
Chad,TCD,2003,239215,123611,1363318,1433286,6328403
Chad,TCD,2011,962023,506185,3157995,2363835,5764959
Chad,TCD,2018,1055313,573459,4407275,3510812,6874018
Chad,TCD,2022,1310711,629416,5180858,4049026,7285305
Chile,CHL,1987,3749746,804532,3754102,1702772,2778998
Chile,CHL,1990,4613346,965487,4023728,1680604,2154011
Chile,CHL,1992,5375378,1109056,4369900,1493326,1536917
Chile,CHL,1994,6024629,1159309,4211462,1419781,1501075
Chile,CHL,1996,6919977,1237990,4164784,1239126,1172169
Chile,CHL,1998,7515281,1320763,4015885,1156932,1118938
Chile,CHL,2000,7231553,1378777,4393131,1166116,1334058
Chile,CHL,2003,7614549,1482754,4445687,1209262,1272500
Chile,CHL,2006,9659875,1571082,3999475,727958,550805
Chile,CHL,2009,10622495,1696983,3729062,510723,450469
Chile,CHL,2011,11669058,1611870,3367435,416086,287367
Chile,CHL,2013,13705179,1439357,2191896,212542,138032
Chile,CHL,2015,14728099,1207863,1827434,162452,121776
Chile,CHL,2017,15814588,1077365,1472729,104590,89596
Chile,CHL,2020,16042825,1139565,1659271,195394,333569
Chile,CHL,2022,17563752,796870,989735,76114,126565
Chile,CHL,2024,18189352,683440,749498,63487,78995
China,CHN,1981,0,0,3345529,26430354,964109109
China,CHN,1984,0,0,22813874,67861014,946150136
China,CHN,1987,0,1934852,63733740,139331427,879034925
China,CHN,1990,3885169,4624110,66836481,116390591,943448673
China,CHN,1993,8918435,8033687,108747597,142002607,910737610
China,CHN,1996,25295133,17539330,201754726,210470942,762489821
China,CHN,1999,42370898,26919903,248157205,202762592,732524378
China,CHN,2002,88889006,49832080,326458035,203280974,611939905
China,CHN,2005,161502299,78120392,405530398,229550171,429016676
China,CHN,2008,259096161,100934220,416889144,202511493,345223958
China,CHN,2010,343798984,109744853,417015042,191797269,275348812
China,CHN,2011,391633203,118542983,442838596,186384602,205635624
China,CHN,2012,453858220,123250927,436634432,166089377,174356996
China,CHN,2013,530786566,136633284,468081342,145376755,82361989
China,CHN,2014,597203832,141614079,444566015,125294775,63181267
China,CHN,2015,658226594,146145703,428895095,107167250,39425326
China,CHN,2016,713448566,147333965,410574154,87409812,29023455
China,CHN,2017,753897106,145324624,392789090,82215469,21988751
China,CHN,2018,814309552,145551714,365991065,66392641,10514964
China,CHN,2019,863604415,146018543,355507827,42614239,0
China,CHN,2020,845291824,157109293,385398646,23300269,0
China,CHN,2021,977819158,143335410,286890390,4314978,0
China,CHN,2022,969837630,141816584,293270829,7249933,0
China (rural),,1981,0,0,0,8332314,785220390
China (rural),,1984,0,0,14104304,30140322,753962670
China (rural),,1987,0,1934882,31993976,59252079,716383927
China (rural),,1990,3418284,1834811,23316403,43683688,765562110
China (rural),,1993,1612343,1994172,26111232,50856245,768019736
China (rural),,1996,10732885,6365264,75392596,112001302,641950385
China (rural),,1999,11798021,6577171,74505628,104817732,619338888
China (rural),,2002,18132532,9491328,98758034,119050879,534461627
China (rural),,2005,28295576,16076507,164035430,159642877,375200426
China (rural),,2008,41830430,21354083,180389736,143123649,315508246
China (rural),,2010,53254928,26016275,198133926,138305299,263388516
China (rural),,2011,59108172,30425522,222133554,133228292,203007436
China (rural),,2012,73882470,35782135,229122615,121966697,174356995
China (rural),,2013,107641222,55843141,278644965,98682504,79598664
China (rural),,2014,130459925,63824682,270165175,83092254,59502508
China (rural),,2015,149576022,68446738,257936801,73404359,39425328
China (rural),,2016,165184065,70796435,241698402,64513065,29023457
China (rural),,2017,179251904,69929897,224622784,59337992,21988751
China (rural),,2018,205924802,72222216,202457633,48940224,10514965
China (rural),,2019,222809500,72658219,192031708,37449885,0
China (rural),,2020,214232022,74938233,206696507,18854230,0
China (rural),,2021,275017596,69348582,149584252,4314978,0
China (rural),,2022,273783192,65485165,144669551,7249932,0
China (urban),,1981,0,0,3345556,18098013,178888751
China (urban),,1984,0,0,8709540,37720696,192187460
China (urban),,1987,0,0,31739723,80079417,162651004
China (urban),,1990,466866,2789340,43520041,72706877,177886540
China (urban),,1993,7306088,6039488,82636380,91146409,142717875
China (urban),,1996,14562263,11174050,126362131,98469686,120539454
China (urban),,1999,30572890,20342712,173651618,97944815,113185501
China (urban),,2002,70756471,40340761,227699999,84230076,77478261
China (urban),,2005,133206713,62043945,241494951,69907325,53816250
China (urban),,2008,217265756,79580080,236499445,59387843,29715708
China (urban),,2010,290544050,83728584,218881115,53491981,11960286
China (urban),,2011,332524997,88117506,220705022,53156319,2628188
China (urban),,2012,379975781,87468780,207511848,44122695,0
China (urban),,2013,423145407,80790136,189436374,46694261,2763326
China (urban),,2014,466743943,77789377,174400887,42202519,3678762
China (urban),,2015,508650598,77698989,170958297,33762900,0
China (urban),,2016,548264519,76537527,168875795,22896751,0
China (urban),,2017,574645169,75394744,168166259,22877476,0
China (urban),,2018,608384780,73329508,163533447,17452425,0
China (urban),,2019,640794935,73360316,163476106,5164355,0
China (urban),,2020,631059794,82171056,178702118,4446040,0
China (urban),,2021,702801626,73986824,137306142,0,0
China (urban),,2022,696054446,76331418,148601272,0,0
Colombia,COL,1992,10623183,2776082,10996033,3953443,5411831
Colombia,COL,1996,9562509,2583521,10787154,4490373,9039187
Colombia,COL,1999,9443118,2391238,10829519,4951684,10839305
Colombia,COL,2000,10958748,2561163,11345129,4875324,9349572
Colombia,COL,2001,8810988,2525995,11322013,5314184,11736084
Colombia,COL,2002,12416618,2722548,11468658,5153998,8562858
Colombia,COL,2003,12001986,3013800,12735864,5095293,8090485
Colombia,COL,2004,12629586,2971904,12614773,5347043,7979866
Colombia,COL,2005,14028590,3197831,12908224,4916515,7077816
Colombia,COL,2008,17117630,3368918,11795378,4365102,7111780
Colombia,COL,2009,17656351,3483466,12112520,4332404,6686799
Colombia,COL,2010,18864348,3545665,12237030,4156554,5973723
Colombia,COL,2011,20367693,3630594,12243492,3911540,5106297
Colombia,COL,2012,21067037,3483045,11549702,3794217,5821807
Colombia,COL,2013,22174831,3628294,11424314,3468246,5455899
Colombia,COL,2014,23331734,3712625,10973596,3451777,5095696
Colombia,COL,2015,23735371,3849894,11219829,3371862,4792984
